時間軸,コード,銘柄名,シグナル種別,シグナル名,スコア,継続,詳細
月足,6501,日立製作所,買い,パーフェクトオーダー (強気),3,1,短期>中期>長期、3本すべて上昇中
月足,6701,日本電気,買い,騰落率オーバーシュート (下方),1,1,5日MA乖離率 -17.8% — 売られすぎ（反発注意）
月足,6702,富士通,買い,パーフェクトオーダー (強気),3,1,短期>中期>長期、3本すべて上昇中
月足,6702,富士通,買い,騰落率オーバーシュート (下方),1,1,5日MA乖離率 -12.0% — 売られすぎ（反発注意）
月足,6762,ＴＤＫ,買い,パーフェクトオーダー (強気),3,1,短期>中期>長期、3本すべて上昇中
月足,6762,ＴＤＫ,買い,終値がSMA短期を上抜け,1,1,終値がSMA6を下から上へ突破
月足,6981,村田製作所,買い,ゴールデンクロス (中期/長期),3,1,SMA12がSMA24を上抜け
月足,6981,村田製作所,買い,パーフェクトオーダー (強気),3,1,短期>中期>長期、3本すべて上昇中
月足,6993,大黒屋ホールディングス,買い,パーフェクトオーダー (強気),3,1,短期>中期>長期、3本すべて上昇中
月足,7011,三菱重工業,買い,パーフェクトオーダー (強気),3,1,短期>中期>長期、3本すべて上昇中
月足,7013,ＩＨＩ,買い,パーフェクトオーダー (強気),3,1,短期>中期>長期、3本すべて上昇中
月足,7182,ゆうちょ銀行,買い,パーフェクトオーダー (強気),3,1,短期>中期>長期、3本すべて上昇中
月足,7201,日産自動車,買い,終値がSMA長期を上抜け,2,1,終値がSMA24を下から上へ突破
月足,7203,トヨタ自動車,買い,ゴールデンクロス (中期/長期),3,1,SMA12がSMA24を上抜け
月足,7203,トヨタ自動車,買い,パーフェクトオーダー (強気),3,1,短期>中期>長期、3本すべて上昇中
月足,7211,三菱自動車工業,買い,終値がSMA短期を上抜け,1,1,終値がSMA6を下から上へ突破
月足,7211,三菱自動車工業,買い,終値がSMA長期を上抜け,2,1,終値がSMA24を下から上へ突破
月足,7267,本田技研工業,買い,終値がSMA短期を上抜け,1,1,終値がSMA6を下から上へ突破
月足,7974,任天堂,買い,騰落率オーバーシュート (下方),1,3,5日MA乖離率 -19.6% — 売られすぎ（反発注意）
月足,8001,伊藤忠商事,買い,パーフェクトオーダー (強気),3,1,短期>中期>長期、3本すべて上昇中
月足,8058,三菱商事,買い,パーフェクトオーダー (強気),3,1,短期>中期>長期、3本すべて上昇中
月足,8306,三菱ＵＦＪフィナンシャル・グループ,買い,パーフェクトオーダー (強気),3,1,短期>中期>長期、3本すべて上昇中
月足,8316,三井住友フィナンシャルグループ,買い,パーフェクトオーダー (強気),3,1,短期>中期>長期、3本すべて上昇中
月足,8411,みずほフィナンシャルグループ,買い,パーフェクトオーダー (強気),3,1,短期>中期>長期、3本すべて上昇中
月足,8604,野村ホールディングス,買い,パーフェクトオーダー (強気),3,1,短期>中期>長期、3本すべて上昇中
月足,8918,ランド,買い,パーフェクトオーダー (強気),3,1,短期>中期>長期、3本すべて上昇中
月足,8918,ランド,買い,終値がSMA短期を上抜け,1,1,終値がSMA6を下から上へ突破
月足,9432,ＮＴＴ,買い,ゴールデンクロス (中期/長期),3,1,SMA12がSMA24を上抜け
月足,9501,東京電力ホールディングス,買い,終値がSMA短期を上抜け,1,1,終値がSMA6を下から上へ突破
月足,9501,東京電力ホールディングス,買い,終値がSMA長期を上抜け,2,1,終値がSMA24を下から上へ突破
月足,9984,ソフトバンクグループ,買い,パーフェクトオーダー (強気),3,1,短期>中期>長期、3本すべて上昇中
月足,9984,ソフトバンクグループ,買い,騰落率オーバーシュート (下方),1,2,5日MA乖離率 -13.8% — 売られすぎ（反発注意）
月足,285A,キオクシアホールディングス,売り,騰落率オーバーシュート (上方),-1,7,5日MA乖離率 +44.8% — 過熱感（反落注意）
月足,3103,ユニチカ,売り,騰落率オーバーシュート (上方),-1,4,5日MA乖離率 +181.7% — 過熱感（反落注意）
月足,3350,メタプラネット,売り,終値がSMA長期を下抜け,-2,1,終値がSMA24を上から下へ突破
月足,4005,住友化学,売り,騰落率オーバーシュート (上方),-1,1,5日MA乖離率 +17.9% — 過熱感（反落注意）
月足,4564,オンコセラピー・サイエンス,売り,パーフェクトオーダー (弱気),-3,1,短期<中期<長期、3本すべて下落中
月足,4582,シンバイオ製薬,売り,騰落率オーバーシュート (上方),-1,1,5日MA乖離率 +44.1% — 過熱感（反落注意）
月足,4596,窪田製薬ホールディングス,売り,騰落率オーバーシュート (上方),-1,2,5日MA乖離率 +142.3% — 過熱感（反落注意）
月足,4597,ソレイジア・ファーマ,売り,騰落率オーバーシュート (上方),-1,1,5日MA乖離率 +15.6% — 過熱感（反落注意）
月足,4755,楽天グループ,売り,終値がSMA長期を下抜け,-2,1,終値がSMA24を上から下へ突破
月足,4755,楽天グループ,売り,MACD デッドクロス,-2,1,MACD線がシグナル線を下抜け — 下落モメンタム
月足,5016,ＪＸ金属,売り,騰落率オーバーシュート (上方),-1,2,5日MA乖離率 +68.0% — 過熱感（反落注意）
月足,5401,日本製鉄,売り,RSI ダイバージェンス (弱気),-3,1,株価が高値圏だがRSIは下落（反転示唆）
月足,5803,フジクラ,売り,騰落率オーバーシュート (上方),-1,1,5日MA乖離率 +30.1% — 過熱感（反落注意）
月足,6501,日立製作所,売り,ボリンジャー上限反落,-2,1,終値がBB+2σ以上から反落 — 買われすぎ反転
月足,6501,日立製作所,売り,リバーサル・デー（弱気）,-2,1,前日の高安を包み込み陰線引け — 外側日反転
月足,6701,日本電気,売り,RSI 買われすぎ反転,-2,1,RSI(14)が65.7へ下落（70以上から反転）
月足,6701,日本電気,売り,パラボリックSAR 反転 (売り),-2,1,SARが株価の上側に移動 — トレンド転換（売り）
月足,6701,日本電気,売り,出来高急増（陰線）,-2,1,出来高が20日平均の2.7倍（陰線）— 投げ売り
月足,6702,富士通,売り,終値がSMA短期を下抜け,-1,1,終値がSMA6を上から下へ突破
月足,6702,富士通,売り,RSI 買われすぎ反転,-2,1,RSI(14)が62.9へ下落（70以上から反転）
月足,6702,富士通,売り,パラボリックSAR 反転 (売り),-2,1,SARが株価の上側に移動 — トレンド転換（売り）
月足,6723,ルネサスエレクトロニクス,売り,騰落率オーバーシュート (上方),-1,3,5日MA乖離率 +30.2% — 過熱感（反落注意）
月足,6740,ジャパンディスプレイ,売り,騰落率オーバーシュート (上方),-1,1,5日MA乖離率 +27.3% — 過熱感（反落注意）
月足,6758,ソニーグループ,売り,MACD デッドクロス,-2,1,MACD線がシグナル線を下抜け — 下落モメンタム
月足,6981,村田製作所,売り,騰落率オーバーシュート (上方),-1,1,5日MA乖離率 +20.2% — 過熱感（反落注意）
月足,6993,大黒屋ホールディングス,売り,RSI 買われすぎ反転,-2,1,RSI(14)が65.9へ下落（70以上から反転）
月足,6993,大黒屋ホールディングス,売り,ボリンジャー上限反落,-2,1,終値がBB+2σ以上から反落 — 買われすぎ反転
月足,6993,大黒屋ホールディングス,売り,騰落率オーバーシュート (上方),-1,4,5日MA乖離率 +11.8% — 過熱感（反落注意）
月足,7011,三菱重工業,売り,騰落率オーバーシュート (上方),-1,1,5日MA乖離率 +14.1% — 過熱感（反落注意）
月足,7013,ＩＨＩ,売り,騰落率オーバーシュート (上方),-1,2,5日MA乖離率 +29.4% — 過熱感（反落注意）
月足,7182,ゆうちょ銀行,売り,騰落率オーバーシュート (上方),-1,3,5日MA乖離率 +31.8% — 過熱感（反落注意）
月足,7201,日産自動車,売り,騰落率オーバーシュート (上方),-1,1,5日MA乖離率 +11.7% — 過熱感（反落注意）
月足,7203,トヨタ自動車,売り,RSI 買われすぎ反転,-2,1,RSI(14)が67.2へ下落（70以上から反転）
月足,7203,トヨタ自動車,売り,騰落率オーバーシュート (上方),-1,1,5日MA乖離率 +12.8% — 過熱感（反落注意）
月足,7211,三菱自動車工業,売り,騰落率オーバーシュート (上方),-1,1,5日MA乖離率 +11.2% — 過熱感（反落注意）
月足,7974,任天堂,売り,デッドクロス (短期/中期),-2,1,SMA6がSMA12を下抜け
月足,7974,任天堂,売り,出来高急増（陰線）,-2,1,出来高が20日平均の2.2倍（陰線）— 投げ売り
月足,8001,伊藤忠商事,売り,騰落率オーバーシュート (上方),-1,1,5日MA乖離率 +14.9% — 過熱感（反落注意）
月足,8058,三菱商事,売り,騰落率オーバーシュート (上方),-1,1,5日MA乖離率 +29.7% — 過熱感（反落注意）
月足,8306,三菱ＵＦＪフィナンシャル・グループ,売り,騰落率オーバーシュート (上方),-1,2,5日MA乖離率 +14.0% — 過熱感（反落注意）
月足,8316,三井住友フィナンシャルグループ,売り,騰落率オーバーシュート (上方),-1,4,5日MA乖離率 +18.2% — 過熱感（反落注意）
月足,8411,みずほフィナンシャルグループ,売り,騰落率オーバーシュート (上方),-1,2,5日MA乖離率 +18.2% — 過熱感（反落注意）
月足,8604,野村ホールディングス,売り,騰落率オーバーシュート (上方),-1,3,5日MA乖離率 +12.7% — 過熱感（反落注意）
月足,8918,ランド,売り,騰落率オーバーシュート (上方),-1,1,5日MA乖離率 +11.1% — 過熱感（反落注意）
月足,9434,ソフトバンク,売り,MACD デッドクロス,-2,1,MACD線がシグナル線を下抜け — 下落モメンタム
月足,9984,ソフトバンクグループ,売り,十字線（天井圏）,-1,1,始値≒終値、長いヒゲ — upトレンドの転換を暗示
